original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia hystrix ssp. continua,Acacia hystrix subsp. continua,Acacia hystrix subsp. continua,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia imparilis,Acacia imparilis,Acacia imparilis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia improcera,Acacia improcera,Acacia improcera,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia incanicarpa,Acacia incanicarpa,Acacia incanicarpa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia incongesta,Acacia incongesta,Acacia incongesta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia laricina var.. crassifolia,Acacia laricina var. crassifolia,Acacia laricina var. crassifolia,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia lasiocalyx,Acacia lasiocalyx,Acacia lasiocalyx,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia littorea,Acacia littorea,Acacia littorea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia microneura,Acacia microneura,Acacia microneura,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia moirii ssp. dasycarpa,Acacia moirii subsp. dasycarpa,Acacia moirii subsp. dasycarpa,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia mutabilis ssp angustifolia,Acacia mutabilis subsp. angustifolia,Acacia mutabilis subsp. angustifolia,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia mutabilis ssp. incurva,Acacia mutabilis subsp. incurva,Acacia mutabilis subsp. incurva,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia mutabilis ssp. mutabilis,Acacia mutabilis subsp. mutabilis,Acacia mutabilis subsp. mutabilis,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia mutabilis ssp. rhynchophylla,Acacia mutabilis subsp. rhynchophylla,Acacia mutabilis subsp. rhynchophylla,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia newbeyi,Acacia newbeyi,Acacia newbeyi,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia nitidula,Acacia nitidula,Acacia nitidula,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia ophiolithica,Acacia ophiolithica,Acacia ophiolithica,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
